Name,1NN-ED,1NN-DTW,RF,SF-ED,SF-DTW
ACSF1,0.46,0.36,0.23,0.29,0.32
Adiac,0.3887,0.3964,0.3708,0.4271,0.3734
AllGestureWiimoteX,0.4843,0.2843,0.5529,0.4957,0.2914
AllGestureWiimoteY,0.4314,0.2714,0.5271,0.4357,0.2914
AllGestureWiimoteZ,0.5457,0.3571,0.6086,0.5371,0.3614
ArrowHead,0.2,0.2971,0.2514,0.2629,0.32
Beef,0.3333,0.3667,0.3,0.4,0.3667
BeetleFly,0.25,0.3,0.1,0.25,0.15
BirdChicken,0.45,0.25,0.2,0.45,0.25
BME,0.1667,0.1,0.02,0.1067,0.0667
Car,0.2667,0.2667,0.3167,0.3167,0.3333
CBF,0.1478,0.0033,0.1467,0.1111,0.0178
Chinatown,0.0464,0.0435,0.0203,0.0348,0.0377
ChlorineConcentration,0.35,0.3516,0.2924,0.4049,0.3922
CinCECGTorso,0.1029,0.3493,0.3116,0.2065,0.4652
Coffee,0,0,0,0,0
Computers,0.424,0.3,0.36,0.44,0.308
CricketX,0.4231,0.2462,0.4359,0.4256,0.2718
CricketY,0.4333,0.2564,0.3872,0.4205,0.3256
CricketZ,0.4128,0.2462,0.4051,0.3974,0.2385
Crop,0.2883,0.3348,0.2445,0.2819,0.3244
DiatomSizeReduction,0.0654,0.0327,0.0784,0.0719,0.0588
DistalPhalanxOutlineAgeGroup,0.3741,0.2302,0.2302,0.2806,0.2878
DistalPhalanxOutlineCorrect,0.2826,0.2826,0.221,0.2391,0.2101
DistalPhalanxTW,0.3669,0.4101,0.3381,0.3237,0.3453
DodgerLoopDay,0.45,0.5,0.4,0.375,0.5375
DodgerLoopGame,0.1159,0.1232,0.2754,0.1594,0.1304
DodgerLoopWeekend,0.0145,0.0507,0.0145,0.0145,0.0362
Earthquakes,0.2878,0.2806,0.2518,0.2518,0.2446
ECG200,0.12,0.23,0.19,0.13,0.19
ECG5000,0.0751,0.0756,0.0633,0.0642,0.0676
ECGFiveDays,0.2033,0.2323,0.331,0.2497,0.2613
ElectricDevices,0.4492,0.4011,0.3473,0.3996,0.2988
EOGHorizontalSignal,0.5829,0.4972,0.5304,0.5691,0.4945
EOGVerticalSignal,0.558,0.5525,0.6133,0.5829,0.5359
EthanolLevel,0.726,0.724,0.526,0.734,0.728
FaceAll,0.2864,0.1923,0.2071,0.268,0.1391
FaceFour,0.2159,0.1705,0.25,0.375,0.2386
FacesUCR,0.2307,0.0951,0.2366,0.2941,0.1424
FiftyWords,0.3692,0.3099,0.3516,0.3297,0.3121
Fish,0.2171,0.1771,0.2229,0.2229,0.2686
FordA,0.3348,0.4455,0.2652,0.2333,0.3106
FordB,0.3938,0.3802,0.3531,0.384,0.3395
FreezerRegularTrain,0.1951,0.1011,0.0498,0.1228,0.1312
FreezerSmallTrain,0.3242,0.2411,0.2368,0.2947,0.2853
Fungi,0.1774,0.1613,0.6344,0.1667,0.1505
GestureMidAirD1,0.4231,0.4308,0.3846,0.4615,0.4231
GestureMidAirD2,0.5077,0.3923,0.4769,0.4385,0.3769
GestureMidAirD3,0.6538,0.6769,0.7077,0.6769,0.6923
GesturePebbleZ1,0.2674,0.2093,0.1977,0.2384,0.1105
GesturePebbleZ2,0.3291,0.3291,0.2405,0.2658,0.1962
GunPoint,0.0867,0.0933,0.1067,0.14,0.16
GunPointAgeSpan,0.1013,0.0823,0.0348,0.0918,0.1171
GunPointMaleVersusFemale,0.0253,0.0032,0.0348,0.038,0.0127
GunPointOldVersusYoung,0.0476,0.1619,0,0.0381,0.1651
Ham,0.4,0.5333,0.3048,0.2952,0.3905
HandOutlines,0.1378,0.1189,0.0946,0.1027,0.1081
Haptics,0.6299,0.6234,0.5357,0.5682,0.5292
Herring,0.4844,0.4688,0.4531,0.4063,0.5156
HouseTwenty,0.3361,0.0756,0.2521,0.2521,0.0588
InlineSkate,0.6582,0.6164,0.6745,0.7145,0.6273
InsectEPGRegularTrain,0.3213,0.1285,0,0.3213,0.1566
InsectEPGSmallTrain,0.3373,0.2651,0,0.3454,0.241
InsectWingbeatSound,0.4384,0.6449,0.3576,0.3763,0.6313
ItalyPowerDemand,0.0447,0.0496,0.0311,0.034,0.0573
LargeKitchenAppliances,0.5067,0.2053,0.4427,0.4133,0.2267
Lightning2,0.2459,0.1311,0.2295,0.2623,0.2459
Lightning7,0.4247,0.274,0.3014,0.3562,0.3288
Mallat,0.0857,0.0661,0.1488,0.052,0.0542
Meat,0.0667,0.0667,0.0667,0.0667,0.0333
MedicalImages,0.3158,0.2632,0.2579,0.3211,0.2461
MelbournePedestrian,0.1518,0.2094,0.0359,0.1445,0.1833
MiddlePhalanxOutlineAgeGroup,0.4805,0.5,0.4026,0.3896,0.3831
MiddlePhalanxOutlineCorrect,0.2337,0.3024,0.1649,0.1821,0.2165
MiddlePhalanxTW,0.487,0.4935,0.474,0.461,0.4416
MixedShapesRegularTrain,0.1027,0.1584,0.1369,0.1014,0.1365
MixedShapesSmallTrain,0.1645,0.2202,0.2252,0.1794,0.2239
MoteStrain,0.1214,0.1653,0.1102,0.155,0.1294
NonInvasiveFetalECGThorax1,0.171,0.2097,0.1226,0.1573,0.1924
NonInvasiveFetalECGThorax2,0.1201,0.1354,0.0931,0.1186,0.141
OliveOil,0.1333,0.1667,0.0667,0.2,0.2667
OSULeaf,0.4793,0.4091,0.5083,0.4876,0.4587
PhalangesOutlinesCorrect,0.2389,0.2716,0.176,0.2051,0.2179
Phoneme,0.8908,0.7716,0.8623,0.8729,0.7173
PickupGestureWiimoteZ,0.44,0.34,0.22,0.38,0.24
PigAirwayPressure,0.9423,0.8942,0.899,0.9279,0.9423
PigArtPressure,0.875,0.7548,0.8365,0.8894,0.8317
PigCVP,0.9183,0.8462,0.9135,0.9375,0.9135
PLAID,0.4637,0.162,0.2849,0.3426,0.1527
Plane,0.0381,0,0.0095,0.0381,0.0095
PowerCons,0.0667,0.1222,0,0.0667,0.1222
ProximalPhalanxOutlineAgeGroup,0.2146,0.1951,0.1366,0.1463,0.1561
ProximalPhalanxOutlineCorrect,0.1924,0.2165,0.134,0.1375,0.1718
ProximalPhalanxTW,0.2927,0.2439,0.1951,0.2146,0.1951
RefrigerationDevices,0.6053,0.536,0.4693,0.6053,0.4827
Rock,0.16,0.4,0.48,0.2,0.58
ScreenType,0.64,0.6027,0.592,0.5707,0.6027
SemgHandGenderCh2,0.2383,0.1983,0.09,0.1267,0.1883
SemgHandMovementCh2,0.6311,0.4156,0.5,0.3822,0.3422
SemgHandSubjectCh2,0.5956,0.2733,0.3,0.1022,0.1444
ShakeGestureWiimoteZ,0.4,0.14,0.3,0.3,0.12
ShapeletSim,0.4611,0.35,0.5333,0.4278,0.2889
ShapesAll,0.2483,0.2317,0.275,0.265,0.2283
SmallKitchenAppliances,0.6587,0.3573,0.2933,0.2587,0.2907
SmoothSubspace,0.0933,0.1733,0.0267,0.2133,0.02
SonyAIBORobotSurface1,0.3045,0.2745,0.3145,0.2729,0.1547
SonyAIBORobotSurface2,0.1406,0.1689,0.2099,0.2067,0.2172
StarLightCurves,0.1512,0.0934,0.0549,0.0765,0.0642
Strawberry,0.0541,0.0595,0.0351,0.0757,0.0784
SwedishLeaf,0.2112,0.208,0.1328,0.1888,0.1984
Symbols,0.1005,0.0503,0.1196,0.1055,0.0503
SyntheticControl,0.12,0.0067,0.0533,0.01,0.01
ToeSegmentation1,0.3202,0.2281,0.3333,0.364,0.193
ToeSegmentation2,0.1923,0.1615,0.2308,0.2,0.2154
Trace,0.24,0,0.22,0.29,0.01
TwoLeadECG,0.2529,0.0957,0.2546,0.3152,0.2142
TwoPatterns,0.0933,0,0.1755,0.1675,0
UMD,0.2361,0.0069,0.1042,0.1389,0.0069
UWaveGestureLibraryAll,0.0519,0.1083,0.074,0.0536,0.0924
UWaveGestureLibraryX,0.2607,0.2725,0.2485,0.2398,0.2298
UWaveGestureLibraryY,0.3384,0.366,0.3057,0.3118,0.3314
UWaveGestureLibraryZ,0.3504,0.3417,0.3004,0.3018,0.2968
Wafer,0.0045,0.0201,0.0148,0.0104,0.0161
Wine,0.3889,0.4259,0.3519,0.3519,0.4074
WordSynonyms,0.3824,0.3511,0.4451,0.4279,0.3918
Worms,0.5455,0.4156,0.4156,0.4286,0.4026
WormsTwoClass,0.3896,0.3766,0.3896,0.4156,0.3636
Yoga,0.1697,0.1637,0.1953,0.1703,0.17
# wins,12,31,39,11,30
mean rank,3.6,2.9,2.6,3.2,2.7
